                    x0           x1           x2           x3     
    1.19000n      9.1457u    700.0087m      9.1457u    700.0087m
    1.20000n     14.8360u    700.0147m     14.8360u    700.0147m
    1.21000n      5.4084u    700.0052m      5.4084u    700.0052m
    1.22000n     -4.0193u    699.9957m     -4.0193u    699.9957m
    1.23000n    -13.4469u    699.9862m    -13.4469u    699.9862m
    1.24000n    -17.7619u    699.9819m    -17.7619u    699.9819m
    1.25000n    -14.2895u    699.9853m    -14.2895u    699.9853m
    1.26000n    -10.8171u    699.9888m    -10.8171u    699.9888m
    1.27000n     -7.3447u    699.9923m     -7.3447u    699.9923m
    1.28000n     -3.8723u    699.9958m     -3.8723u    699.9958m
    1.29000n      0.         699.9992m      0.         699.9992m
    1.30000n      3.0725u    700.0027m      3.0725u    700.0027m
    1.31000n      6.5449u    700.0062m      6.5449u    700.0062m
    1.32000n     10.0173u    700.0096m     10.0173u    700.0096m
    1.33000n     13.4897u    700.0131m     13.4897u    700.0131m
    1.34000n     16.9622u    700.0166m     16.9622u    700.0166m
    1.35000n     18.5973u    700.0182m     18.5973u    700.0182m
    1.36000n     17.0736u    700.0167m     17.0736u    700.0167m
    1.37000n     15.5498u    700.0152m     15.5498u    700.0152m
    1.38000n     14.0261u    700.0137m     14.0261u    700.0137m
    1.39000n     12.5023u    700.0121m     12.5023u    700.0121m
    1.40000n     10.9786u    700.0106m     10.9786u    700.0106m
    1.41000n      9.4549u    700.0091m      9.4549u    700.0091m
    1.42000n      7.9311u    700.0076m      7.9311u    700.0076m
    1.43000n      6.4074u    700.0061m      6.4074u    700.0061m
    1.44000n      4.8836u    700.0046m      4.8836u    700.0046m
    1.45000n      3.3599u    700.0030m      3.3599u    700.0030m
    1.46000n      1.8361u    700.0015m      1.8361u    700.0015m
    1.47000n      0.         700.0000m      0.         700.0000m
    1.48000n     -1.2114u    699.9985m     -1.2114u    699.9985m
    1.49000n     -2.7351u    699.9970m     -2.7351u    699.9970m
    1.50000n     -4.2588u    699.9954m     -4.2588u    699.9954m
    1.51000n     -5.7826u    699.9939m     -5.7826u    699.9939m
    1.52000n     -7.3063u    699.9924m     -7.3063u    699.9924m
    1.53000n     -8.8301u    699.9909m     -8.8301u    699.9909m
    1.54000n    -10.3538u    699.9894m    -10.3538u    699.9894m
    1.55000n    -11.8776u    699.9878m    -11.8776u    699.9878m
    1.56000n    -13.4013u    699.9863m    -13.4013u    699.9863m
    1.57000n    -14.9250u    699.9848m    -14.9250u    699.9848m
    1.58000n    -16.4488u    699.9833m    -16.4488u    699.9833m
