            bl           blb          bit          we
1.06000n    687.7920m     10.5301m    700.0000m    700.0000m
1.07000n    688.2043m      8.4040m    700.0000m    700.0000m
1.08000n    688.6166m      6.2779m    700.0000m    700.0000m
1.09000n    688.9533m      5.4307m    700.0000m    700.0000m
1.10000n    689.2717m      4.8911m    700.0000m    700.0000m
1.11000n    689.5902m      4.3516m    700.0000m    700.0000m
1.12000n    689.9087m      3.8120m    700.0000m    700.0000m
1.13000n    690.2271m      3.2725m    700.0000m    700.0000m
1.14000n    690.5456m      2.7330m    700.0000m    700.0000m
1.15000n    690.5634m      1.3390m    700.0000m    700.0000m
1.16000n    690.4635m    496.6591u    700.0000m    700.0000m
1.17000n    690.6435m    338.5942u    700.0000m    700.0000m
1.18000n    690.9260m    324.4948u    700.0000m    700.0000m
1.19000n    691.2011m    310.9159u    700.0000m    700.0000m
1.20000n    691.4636m    298.1842u    700.0000m    700.0000m
1.21000n    691.7152m    286.1863u    700.0000m    700.0000m
1.22000n    691.9668m    274.1885u    700.0000m    700.0000m
1.23000n    692.2185m    262.1906u    700.0000m    700.0000m
1.24000n    692.4502m    251.4453u    700.0000m    700.0000m
1.25000n    692.6517m    242.6080u    700.0000m    700.0000m
1.26000n    692.8532m    233.7707u    700.0000m    700.0000m
1.27000n    693.0547m    224.9333u    700.0000m    700.0000m
1.28000n    693.2562m    216.0960u    700.0000m    700.0000m
1.29000n    693.4576m    207.2587u    700.0000m    700.0000m
1.30000n    693.6591m    198.4214u    700.0000m    700.0000m
1.31000n    693.8606m    189.5840u    700.0000m    700.0000m
1.32000n    694.0621m    180.7467u    700.0000m    700.0000m
1.33000n    694.2636m    171.9094u    700.0000m    700.0000m
1.34000n    694.4651m    163.0720u    700.0000m    700.0000m
1.35000n    694.6369m    155.8699u    700.0000m    700.0000m
1.36000n    694.7577m    151.4794u    700.0000m    700.0000m
1.37000n    694.8785m    147.0889u    700.0000m    700.0000m
1.38000n    694.9993m    142.6984u    700.0000m    700.0000m
1.39000n    695.1201m    138.3078u    700.0000m    700.0000m
1.40000n    695.2408m    133.9173u    700.0000m    700.0000m
1.41000n    695.3616m    129.5268u    700.0000m    700.0000m
1.42000n    695.4824m    125.1362u    700.0000m    700.0000m
1.43000n    695.6032m    120.7457u    700.0000m    700.0000m
1.44000n    695.7240m    116.3552u    700.0000m    700.0000m
1.45000n    695.8448m    111.9647u    700.0000m    700.0000m
1.46000n    695.9656m    107.5741u    700.0000m    700.0000m
1.47000n    696.0864m    103.1836u    700.0000m    700.0000m
1.48000n    696.2072m     98.7931u    700.0000m    700.0000m
1.49000n    696.3280m     94.4025u    700.0000m    700.0000m
1.50000n    696.4488m     90.0120u    700.0000m    700.0000m
1.51000n    696.5696m     85.6215u    700.0000m    700.0000m
1.52000n    696.6903m     81.2310u    700.0000m    700.0000m
1.53000n    696.8111m     76.8404u    700.0000m    700.0000m
1.54000n    696.9319m     72.4499u    700.0000m    700.0000m
1.55000n    697.0527m     68.0594u    700.0000m    700.0000m
1.56000n    697.1735m     63.6688u    700.0000m    700.0000m
1.57000n    697.2943m     59.2783u    700.0000m    700.0000m
1.58000n    697.4151m     54.8878u    700.0000m    700.0000m
1.59000n    697.5359m     50.4973u    700.0000m    700.0000m
1.60000n    697.6320m     47.2843u    700.0000m    700.0000m
1.61000n    697.6948m     45.6603u    700.0000m    700.0000m
1.62000n    697.7577m     44.0363u    700.0000m    700.0000m
1.63000n    697.8205m     42.4123u    700.0000m    700.0000m
1.64000n    697.8834m     40.7883u    700.0000m    700.0000m
1.65000n    697.9462m     39.1643u    700.0000m    700.0000m
1.66000n    698.0090m     37.5403u    700.0000m    700.0000m
1.67000n    698.0719m     35.9163u    700.0000m    700.0000m
1.68000n    698.1347m     34.2923u    700.0000m    700.0000m
1.69000n    698.1975m     32.6683u    700.0000m    700.0000m
1.70000n    698.2604m     31.0443u    700.0000m    700.0000m
1.71000n    698.3232m     29.4203u    700.0000m    700.0000m
