            bl           blb          bit          we
5.16000n    559.9752u    689.7714m      0.         700.0000m
5.17000n    408.0578u    689.9723m      0.         700.0000m
5.18000n    391.0332u    690.2753m      0.         700.0000m
5.19000n    374.8245u    690.5678m      0.         700.0000m
5.20000n    359.3123u    690.8513m      0.         700.0000m
5.21000n    343.8002u    691.1348m      0.         700.0000m
5.22000n    330.6631u    691.3860m      0.         700.0000m
5.23000n    318.0639u    691.6300m      0.         700.0000m
5.24000n    305.4647u    691.8739m      0.         700.0000m
5.25000n    292.8654u    692.1178m      0.         700.0000m
5.26000n    280.2662u    692.3618m      0.         700.0000m
5.27000n    267.6669u    692.6057m      0.         700.0000m
5.28000n    255.0677u    692.8496m      0.         700.0000m
5.29000n    244.1306u    693.0685m      0.         700.0000m
5.30000n    236.5654u    693.2365m      0.         700.0000m
5.31000n    229.0002u    693.4045m      0.         700.0000m
5.32000n    221.4350u    693.5725m      0.         700.0000m
5.33000n    213.8698u    693.7405m      0.         700.0000m
5.34000n    206.3046u    693.9086m      0.         700.0000m
5.35000n    198.7395u    694.0766m      0.         700.0000m
5.36000n    191.1743u    694.2446m      0.         700.0000m
5.37000n    183.6091u    694.4126m      0.         700.0000m
5.38000n    176.0439u    694.5806m      0.         700.0000m
5.39000n    168.4787u    694.7486m      0.         700.0000m
5.40000n    160.9135u    694.9166m      0.         700.0000m
5.41000n    153.3484u    695.0846m      0.         700.0000m
5.42000n    145.7832u    695.2526m      0.         700.0000m
5.43000n    138.2180u    695.4207m      0.         700.0000m
5.44000n    130.6528u    695.5887m      0.         700.0000m
5.45000n    123.0876u    695.7567m      0.         700.0000m
5.46000n    115.5224u    695.9247m      0.         700.0000m
5.47000n    107.9573u    696.0927m      0.         700.0000m
5.48000n    104.1417u    696.1945m      0.         700.0000m
5.49000n    101.1459u    696.2819m      0.         700.0000m
5.50000n     98.1500u    696.3693m      0.         700.0000m
5.51000n     95.1542u    696.4566m      0.         700.0000m
5.52000n     92.1583u    696.5440m      0.         700.0000m
5.53000n     89.1625u    696.6314m      0.         700.0000m
5.54000n     86.1666u    696.7187m      0.         700.0000m
5.55000n     83.1708u    696.8061m      0.         700.0000m
5.56000n     80.1750u    696.8934m      0.         700.0000m
5.57000n     77.1791u    696.9808m      0.         700.0000m
5.58000n     74.1833u    697.0682m      0.         700.0000m
5.59000n     71.1874u    697.1555m      0.         700.0000m
5.60000n     68.1916u    697.2429m      0.         700.0000m
5.61000n     65.1957u    697.3303m      0.         700.0000m
5.62000n     62.1999u    697.4176m      0.         700.0000m
5.63000n     59.2040u    697.5050m      0.         700.0000m
5.64000n     56.2082u    697.5924m      0.         700.0000m
5.65000n     53.2124u    697.6797m      0.         700.0000m
5.66000n     50.2165u    697.7671m      0.         700.0000m
5.67000n     47.2207u    697.8544m      0.         700.0000m
5.68000n     44.2248u    697.9418m      0.         700.0000m
5.69000n     41.2290u    698.0292m      0.         700.0000m
5.70000n     38.2331u    698.1165m      0.         700.0000m
5.71000n     35.2373u    698.2039m      0.         700.0000m
5.72000n   -175.9240u    698.0402m      0.         700.0000m
5.73000n     13.1204m    690.7205m      0.         700.0000m
5.74000n     36.0027m    679.8371m      0.         700.0000m
5.75000n     63.4909m    668.2333m      0.         700.0000m
5.76000n     88.0151m    659.1195m      0.         700.0000m
5.77000n    112.5392m    650.0058m      0.         700.0000m
5.78000n    135.0989m    642.3803m      0.         700.0000m
5.79000n    153.6125m    637.8203m      0.         700.0000m
5.80000n    172.1261m    633.2602m      0.         700.0000m
5.81000n    190.6396m    628.7001m      0.         700.0000m
5.82000n    209.1532m    624.1400m      0.         700.0000m
5.83000n    227.6668m    619.5799m      0.         700.0000m
5.84000n    246.1804m    615.0198m      0.         700.0000m
5.85000n    262.0859m    612.0684m      0.         700.0000m
5.86000n    274.7976m    611.0869m      0.         700.0000m
5.87000n    287.5092m    610.1054m      0.         700.0000m
5.88000n    300.2209m    609.1239m      0.         700.0000m
5.89000n    312.9325m    608.1425m      0.         700.0000m
5.90000n    325.6442m    607.1610m      0.         700.0000m
5.91000n    338.3558m    606.1795m      0.         700.0000m
5.92000n    351.0675m    605.1981m      0.         700.0000m
5.93000n    361.3971m    605.0952m      0.         700.0000m
5.94000n    370.1943m    605.5575m      0.         700.0000m
5.95000n    378.9916m    606.0199m      0.         700.0000m
5.96000n    387.7889m    606.4822m      0.         700.0000m
5.97000n    396.5862m    606.9445m      0.         700.0000m
5.98000n    405.3835m    607.4068m      0.         700.0000m
5.99000n    414.1807m    607.8691m      0.         700.0000m
6.00000n    422.9780m    608.3315m      0.         700.0000m
6.01000n    433.7618m    608.9823m      0.         350.0000m
6.02000n    450.6610m    609.4330m      0.           0.
6.03000n    467.2231m    608.5141m      0.           0.
6.04000n    482.7969m    608.1491m      0.           0.
6.05000n    496.7441m    608.5968m      0.           0.
6.06000n    510.1704m    609.3033m      0.           0.
6.07000n    523.5967m    610.0099m      0.           0.
6.08000n    536.0737m    611.0313m      0.           0.
6.09000n    544.7474m    613.3144m      0.           0.
6.10000n    553.4211m    615.5976m      0.           0.
6.11000n    562.0948m    617.8807m      0.           0.
6.12000n    570.7685m    620.1638m      0.           0.
6.13000n    579.4423m    622.4469m      0.           0.
6.14000n    588.1160m    624.7301m      0.           0.
6.15000n    596.7897m    627.0132m      0.           0.
6.16000n    605.4634m    629.2963m      0.           0.
6.17000n    614.1371m    631.5795m      0.           0.
6.18000n    620.1445m    634.0791m      0.           0.
6.19000n    624.0574m    636.7487m      0.           0.
6.20000n    627.9704m    639.4184m      0.           0.
6.21000n    631.8834m    642.0880m      0.           0.
6.22000n    635.7963m    644.7577m      0.           0.
6.23000n    639.7093m    647.4274m      0.           0.
6.24000n    643.6222m    650.0970m      0.           0.
6.25000n    647.5352m    652.7667m      0.           0.
6.26000n    651.4482m    655.4364m      0.           0.
6.27000n    655.3611m    658.1060m      0.           0.
6.28000n    659.2741m    660.7757m      0.           0.
6.29000n    662.7968m    663.5411m      0.           0.
6.30000n    664.3708m    665.0725m      0.           0.
6.31000n    664.6005m    665.3021m      0.           0.
6.32000n    664.6004m    665.3021m      0.           0.
6.33000n    664.6004m    665.3021m      0.           0.
6.34000n    664.6004m    665.3021m      0.           0.
6.35000n    664.6003m    665.3021m      0.           0.
6.36000n    664.6003m    665.3021m      0.           0.
6.37000n    664.6003m    665.3021m      0.           0.
6.38000n    664.6002m    665.3021m      0.           0.
6.39000n    664.6002m    665.3021m      0.           0.
6.40000n    664.6002m    665.3021m      0.           0.
6.41000n    664.6001m    665.3021m      0.           0.
6.42000n    664.6001m    665.3021m      0.           0.
6.43000n    664.6001m    665.3021m      0.           0.
6.44000n    664.6001m    665.3021m      0.           0.
6.45000n    664.6000m    665.3021m      0.           0.
6.46000n    664.6000m    665.3021m      0.           0.
6.47000n    664.6000m    665.3021m      0.           0.
6.48000n    664.5999m    665.3021m      0.           0.
6.49000n    664.5999m    665.3021m      0.           0.
6.50000n    664.5999m    665.3021m      0.           0.
6.51000n    664.5998m    665.3021m      0.           0.
6.52000n    664.5998m    665.3021m      0.           0.
6.53000n    664.5998m    665.3021m      0.           0.
6.54000n    664.5997m    665.3021m      0.           0.
6.55000n    664.5997m    665.3021m      0.           0.
6.56000n    664.5997m    665.3021m      0.           0.
6.57000n    664.5997m    665.3021m      0.           0.
6.58000n    664.5996m    665.3021m      0.           0.
6.59000n    664.5996m    665.3021m      0.           0.
6.60000n    664.5996m    665.3021m      0.           0.
6.61000n    664.5995m    665.3021m      0.           0.
6.62000n    664.5995m    665.3021m      0.           0.
6.63000n    664.5995m    665.3021m      0.           0.
6.64000n    664.5994m    665.3021m      0.           0.
6.65000n    664.5994m    665.3021m      0.           0.
6.66000n    664.5994m    665.3021m      0.           0.
6.67000n    664.5993m    665.3021m      0.           0.
6.68000n    664.5993m    665.3021m      0.           0.
6.69000n    664.5993m    665.3021m      0.           0.
6.70000n    664.5993m    665.3021m      0.           0.
6.71000n    664.5992m    665.3021m      0.           0.
6.72000n    664.5992m    665.3021m      0.           0.
6.73000n    664.5992m    665.3021m      0.           0.
6.74000n    664.5991m    665.3021m      0.           0.
6.75000n    664.5991m    665.3021m      0.           0.
6.76000n    664.5991m    665.3021m      0.           0.
6.77000n    664.5990m    665.3021m      0.           0.
6.78000n    664.5990m    665.3021m      0.           0.
6.79000n    664.5990m    665.3020m      0.           0.
6.80000n    664.5989m    665.3020m      0.           0.
6.81000n    664.5989m    665.3020m      0.           0.
6.82000n    664.5989m    665.3020m      0.           0.
6.83000n    664.5989m    665.3020m      0.           0.
6.84000n    664.5988m    665.3020m      0.           0.
6.85000n    664.5988m    665.3020m      0.           0.
6.86000n    664.7102m    665.4145m      0.           0.
6.87000n    662.3819m    665.8079m      0.           0.
6.88000n    647.2547m    666.0889m      0.           0.
6.89000n    626.4636m    666.0889m      0.           0.
6.90000n    605.7788m    666.0889m      0.           0.
6.91000n    585.1931m    666.0890m      0.           0.
6.92000n    564.6787m    666.0890m      0.           0.
6.93000n    544.1643m    666.0890m      0.           0.
6.94000n    523.7522m    666.0891m      0.           0.
6.95000n    503.9832m    666.0891m      0.           0.
6.96000n    484.2141m    666.0891m      0.           0.
6.97000n    464.4450m    666.0891m      0.           0.
6.98000n    444.6760m    666.0892m      0.           0.
6.99000n    424.9069m    666.0892m      0.           0.
7.00000n    405.1378m    666.0892m      0.           0.
7.01000n    385.3688m    666.0892m      0.           0.
7.02000n    365.5997m    666.0893m      0.           0.
7.03000n    348.9744m    666.0893m      0.           0.
7.04000n    333.1342m    666.0893m      0.           0.
7.05000n    317.2941m    666.0894m      0.           0.
7.06000n    301.4540m    666.0894m      0.           0.
7.07000n    285.6138m    666.0894m      0.           0.
7.08000n    269.7737m    666.0894m      0.           0.
7.09000n    253.9335m    666.0895m      0.           0.
7.10000n    238.0934m    666.0895m      0.           0.
7.11000n    222.2532m    666.0895m      0.           0.
7.12000n    206.4131m    666.0896m      0.           0.
7.13000n    190.5730m    666.0896m      0.           0.
7.14000n    174.7328m    666.0896m      0.           0.
7.15000n    163.3410m    665.8086m      0.           0.
7.16000n    159.9149m    665.4152m      0.           0.
7.17000n    159.7999m    665.3027m      0.           0.
7.18000n    159.7999m    665.3027m      0.           0.
7.19000n    159.7999m    665.3027m      0.           0.
7.20000n    159.7999m    665.3027m      0.           0.
7.21000n    159.7999m    665.3027m      0.           0.
7.22000n    159.7999m    665.3027m      0.           0.
7.23000n    159.7998m    665.3027m      0.           0.
7.24000n    159.7998m    665.3027m      0.           0.
7.25000n    159.7998m    665.3027m      0.           0.
7.26000n    159.7998m    665.3027m      0.           0.
7.27000n    159.7998m    665.3027m      0.           0.
7.28000n    159.7998m    665.3027m      0.           0.
7.29000n    159.7998m    665.3027m      0.           0.
7.30000n    159.7998m    665.3027m      0.           0.
7.31000n    159.7998m    665.3027m      0.           0.
7.32000n    159.7998m    665.3027m      0.           0.
7.33000n    159.7998m    665.3027m      0.           0.
7.34000n    159.7998m    665.3027m      0.           0.
7.35000n    159.7998m    665.3027m      0.           0.
7.36000n    159.7998m    665.3027m      0.           0.
7.37000n    159.7998m    665.3027m      0.           0.
7.38000n    159.7998m    665.3027m      0.           0.
7.39000n    159.7998m    665.3027m      0.           0.
7.40000n    159.7998m    665.3027m      0.           0.
7.41000n    159.7998m    665.3027m      0.           0.
7.42000n    159.7998m    665.3027m      0.           0.
7.43000n    159.7997m    665.3027m      0.           0.
7.44000n    159.7997m    665.3027m      0.           0.
7.45000n    159.7997m    665.3026m      0.           0.
7.46000n    159.7997m    665.3026m      0.           0.
7.47000n    159.7997m    665.3026m      0.           0.
7.48000n    159.7997m    665.3026m      0.           0.
7.49000n    159.7997m    665.3026m      0.           0.
7.50000n    159.7997m    665.3026m      0.           0.
7.51000n    159.7997m    665.3026m      0.           0.
7.52000n    159.7997m    665.3026m      0.           0.
7.53000n    159.7997m    665.3026m      0.           0.
7.54000n    159.7997m    665.3026m      0.           0.
7.55000n    159.7997m    665.3026m      0.           0.
7.56000n    159.7997m    665.3026m      0.           0.
7.57000n    159.7997m    665.3026m      0.           0.
7.58000n    159.7997m    665.3026m      0.           0.
7.59000n    159.7997m    665.3026m      0.           0.
7.60000n    159.7997m    665.3026m      0.           0.
7.61000n    159.7997m    665.3026m      0.           0.
7.62000n    159.7997m    665.3026m      0.           0.
7.63000n    159.7997m    665.3026m      0.           0.
7.64000n    159.7996m    665.3026m      0.           0.
7.65000n    159.7996m    665.3026m      0.           0.
7.66000n    159.7996m    665.3026m      0.           0.
7.67000n    159.7996m    665.3026m      0.           0.
7.68000n    159.7996m    665.3026m      0.           0.
7.69000n    159.7996m    665.3026m      0.           0.
7.70000n    159.7996m    665.3026m      0.           0.
7.71000n    159.7996m    665.3026m      0.           0.
7.72000n    159.5782m    665.0773m      0.           0.
7.73000n    167.6266m    661.3580m      0.           0.
7.74000n    190.5472m    652.6611m      0.           0.
7.75000n    216.4405m    644.2618m      0.           0.
7.76000n    241.2831m    636.9885m      0.           0.
7.77000n    264.4025m    631.5262m      0.           0.
7.78000n    287.5219m    626.0638m      0.           0.
7.79000n    310.6413m    620.6014m      0.           0.
7.80000n    333.7607m    615.1390m      0.           0.
7.81000n    353.9394m    611.8390m      0.           0.
7.82000n    371.0346m    610.8062m      0.           0.
7.83000n    388.1298m    609.7734m      0.           0.
7.84000n    405.2250m    608.7407m      0.           0.
7.85000n    422.3203m    607.7079m      0.           0.
7.86000n    439.4155m    606.6751m      0.           0.
7.87000n    456.5107m    605.6424m      0.           0.
7.88000n    473.6059m    604.6096m      0.           0.
7.89000n    490.7011m    603.5769m      0.           0.
7.90000n    507.7963m    602.5441m      0.           0.
7.91000n    519.4936m    603.9688m      0.           0.
7.92000n    529.1409m    606.3268m      0.           0.
7.93000n    538.7881m    608.6847m      0.           0.
7.94000n    548.4354m    611.0427m      0.           0.
7.95000n    558.0826m    613.4007m      0.           0.
7.96000n    567.7299m    615.7587m      0.           0.
7.97000n    577.3771m    618.1167m      0.           0.
7.98000n    587.0243m    620.4747m      0.           0.
7.99000n    596.6716m    622.8327m      0.           0.
8.00000n    606.3188m    625.1906m      0.           0.
