                    x0           x1           x2           x3
   72.10000m    699.9977m     72.1000m    699.9977m     72.1000m
   72.80000m    699.9976m     72.8000m    699.9976m     72.8000m
   73.50000m    699.9976m     73.5000m    699.9976m     73.5000m
   74.20000m    699.9975m     74.2000m    699.9975m     74.2000m
   74.90000m    699.9974m     74.9000m    699.9974m     74.9000m
   75.60000m    699.9974m     75.6000m    699.9974m     75.6000m
   76.30000m    699.9973m     76.3000m    699.9973m     76.3000m
   77.00000m    699.9972m     77.0000m    699.9972m     77.0000m
   77.70000m    699.9971m     77.7000m    699.9971m     77.7000m
   78.40000m    699.9971m     78.4000m    699.9971m     78.4000m
   79.10000m    699.9970m     79.1000m    699.9970m     79.1000m
   79.80000m    699.9969m     79.8000m    699.9969m     79.8000m
   80.50000m    699.9968m     80.5000m    699.9968m     80.5000m
   81.20000m    699.9967m     81.2000m    699.9967m     81.2000m
   81.90000m    699.9966m     81.9000m    699.9966m     81.9000m
   82.60000m    699.9965m     82.6000m    699.9965m     82.6000m
   83.30000m    699.9965m     83.3000m    699.9965m     83.3000m
   84.00000m    699.9964m     84.0000m    699.9964m     84.0000m
   84.70000m    699.9963m     84.7000m    699.9963m     84.7000m
   85.40000m    699.9962m     85.4000m    699.9962m     85.4000m
   86.10000m    699.9961m     86.1000m    699.9961m     86.1000m
   86.80000m    699.9959m     86.8000m    699.9959m     86.8000m
   87.50000m    699.9958m     87.5000m    699.9958m     87.5000m
   88.20000m    699.9957m     88.2000m    699.9957m     88.2000m
   88.90000m    699.9956m     88.9000m    699.9956m     88.9000m
   89.60000m    699.9955m     89.6000m    699.9955m     89.6000m
   90.30000m    699.9954m     90.3000m    699.9954m     90.3000m
   91.00000m    699.9952m     91.0000m    699.9952m     91.0000m
   91.70000m    699.9951m     91.7000m    699.9951m     91.7000m
   92.40000m    699.9950m     92.4000m    699.9950m     92.4000m
   93.10000m    699.9948m     93.1000m    699.9948m     93.1000m
   93.80000m    699.9947m     93.8000m    699.9947m     93.8000m
   94.50000m    699.9945m     94.5000m    699.9945m     94.5000m
   95.20000m    699.9944m     95.2000m    699.9944m     95.2000m
   95.90000m    699.9942m     95.9000m    699.9942m     95.9000m
   96.60000m    699.9941m     96.6000m    699.9941m     96.6000m
   97.30000m    699.9939m     97.3000m    699.9939m     97.3000m
   98.00000m    699.9937m     98.0000m    699.9937m     98.0000m
   98.70000m    699.9936m     98.7000m    699.9936m     98.7000m
   99.40000m    699.9934m     99.4000m    699.9934m     99.4000m
  100.10000m    699.9932m    100.1000m    699.9932m    100.1000m
  100.80000m    699.9930m    100.8000m    699.9930m    100.8000m
  101.50000m    699.9928m    101.5000m    699.9928m    101.5000m
  102.20000m    699.9926m    102.2000m    699.9926m    102.2000m
  102.90000m    699.9924m    102.9000m    699.9924m    102.9000m
  103.60000m    699.9922m    103.6000m    699.9922m    103.6000m
  104.30000m    699.9920m    104.3000m    699.9920m    104.3000m
  105.00000m    699.9918m    105.0000m    699.9918m    105.0000m
  105.70000m    699.9915m    105.7000m    699.9915m    105.7000m
  106.40000m    699.9913m    106.4000m    699.9913m    106.4000m
  107.10000m    699.9911m    107.1000m    699.9911m    107.1000m
  107.80000m    699.9908m    107.8000m    699.9908m    107.8000m
  108.50000m    699.9906m    108.5000m    699.9906m    108.5000m
  109.20000m    699.9903m    109.2000m    699.9903m    109.2000m
  109.90000m    699.9900m    109.9000m    699.9900m    109.9000m
  110.60000m    699.9897m    110.6000m    699.9897m    110.6000m
  111.30000m    699.9895m    111.3000m    699.9895m    111.3000m
  112.00000m    699.9892m    112.0000m    699.9892m    112.0000m
  112.70000m    699.9889m    112.7000m    699.9889m    112.7000m
  113.40000m    699.9886m    113.4000m    699.9886m    113.4000m
  114.10000m    699.9882m    114.1000m    699.9882m    114.1000m
  114.80000m    699.9879m    114.8000m    699.9879m    114.8000m
  115.50000m    699.9876m    115.5000m    699.9876m    115.5000m
  116.20000m    699.9872m    116.2000m    699.9872m    116.2000m
  116.90000m    699.9869m    116.9000m    699.9869m    116.9000m
  117.60000m    699.9865m    117.6000m    699.9865m    117.6000m
  118.30000m    699.9861m    118.3000m    699.9861m    118.3000m
  119.00000m    699.9857m    119.0000m    699.9857m    119.0000m
  119.70000m    699.9853m    119.7000m    699.9853m    119.7000m
