             q           qb           q2           q2b    
4.57000n    -19.6886u    727.4869m    555.8824m    719.8003m
4.58000n    -14.9145u    727.3180m    556.6679m    719.7164m
4.59000n    -10.1404u    727.1492m    557.4534m    719.6325m
4.60000n     -5.3663u    726.9804m    558.2389m    719.5485m
4.61000n   -592.2340n    726.8115m    559.0244m    719.4646m
4.62000n      4.1819u    726.6427m    559.8099m    719.3807m
4.63000n      8.9560u    726.4738m    560.5954m    719.2968m
4.64000n     13.7301u    726.3050m    561.3809m    719.2129m
4.65000n     18.5042u    726.1361m    562.1664m    719.1290m
4.66000n     16.2867u    726.0200m    562.7278m    719.0645m
4.67000n     13.2252u    725.9103m    563.2621m    719.0023m
4.68000n     10.1636u    725.8006m    563.7964m    718.9401m
4.69000n      7.1021u    725.6908m    564.3307m    718.8779m
4.70000n      4.0406u    725.5811m    564.8650m    718.8157m
4.71000n    979.0594n    725.4714m    565.3994m    718.7535m
4.72000n     -2.0825u    725.3616m    565.9337m    718.6913m
4.73000n     -5.1440u    725.2519m    566.4680m    718.6291m
4.74000n     -8.2055u    725.1422m    567.0023m    718.5669m
4.75000n    -11.2670u    725.0324m    567.5366m    718.5047m
4.76000n    -14.3286u    724.9227m    568.0709m    718.4425m
4.77000n    -17.3901u    724.8130m    568.6052m    718.3803m
4.78000n    -20.4516u    724.7032m    569.1396m    718.3181m
4.79000n    -23.5131u    724.5935m    569.6739m    718.2559m
4.80000n    -24.6644u    724.4884m    570.1866m    718.1967m
4.81000n    -16.8804u    724.4049m    570.5985m    718.1513m
4.82000n     -9.0964u    724.3214m    571.0103m    718.1059m
4.83000n     -1.3124u    724.2379m    571.4222m    718.0606m
4.84000n      6.4716u    724.1544m    571.8340m    718.0152m
4.85000n     14.2556u    724.0709m    572.2458m    717.9698m
4.86000n     93.9058m    799.7558m    613.3106m    762.6967m
4.87000n    422.0933m      1.0159     692.2608m    709.2500m
4.88000n    686.7345m      1.0108     690.1703m     50.8560m
4.89000n    698.4265m    967.9021m    698.7210m      9.5502m
4.90000n    699.3621m    947.7328m    699.4471m      3.0790m
4.91000n    699.6998m    935.0413m    699.7077m    910.4849u
4.92000n    699.8453m    925.2879m    699.8225m    119.0789u
4.93000n    699.8835m    918.9670m    699.8641m     28.0829u
4.94000n    699.9077m    913.0932m    699.8961m     28.3152u
4.95000n    699.9223m    908.5826m    699.9136m     26.2224u
4.96000n    699.9311m    904.8960m    699.9224m     22.7243u
4.97000n    699.9399m    901.2093m    699.9312m     19.2263u
4.98000n    699.9476m    897.8379m    699.9392m     16.8651u
4.99000n    699.9517m    895.4946m    699.9450m     18.2118u
5.00000n    699.9558m    893.1514m    699.9508m     19.5585u
5.01000n    699.9599m    890.8082m    699.9565m     20.9052u
5.02000n    699.9641m    888.4649m    699.9623m     22.2519u
5.03000n    699.9676m    886.2888m    699.9670m     23.0568u
5.04000n    699.9690m    884.7905m    699.9679m     21.6652u
5.05000n    699.9703m    883.2921m    699.9687m     20.2735u
5.06000n    699.9716m    881.7937m    699.9696m     18.8819u
5.07000n    699.9729m    880.2953m    699.9704m     17.4902u
5.08000n    699.9743m    878.7970m    699.9713m     16.0986u
5.09000n    699.9756m    877.2986m    699.9721m     14.7069u
5.10000n    699.9769m    875.8002m    699.9729m     13.3153u
5.11000n    699.9783m    874.4054m    699.9743m     12.8173u
5.12000n    699.9796m    873.3233m    699.9772m     15.0174u
5.13000n    699.9809m    872.2412m    699.9801m     17.2175u
5.14000n    699.9823m    871.1590m    699.9830m     19.4176u
5.15000n    681.6425m    792.3553m    696.8282m     -2.9296m
5.16000n    664.6921m    146.8621m    686.0598m      1.3023m
5.17000n    699.4579m     85.9126u    699.8350m      1.5804m
5.18000n    699.9842m      4.2212u    700.0056m    284.4224u
5.19000n    699.9865m     -1.9992u    699.9885m     93.4688u
5.20000n    699.9918m     -1.8162u    699.9902m     26.5439u
5.21000n    700.0021m      2.0261u    700.0049m     21.3750u
5.22000n    700.0100m      4.9024u    700.0161m     16.8880u
5.23000n    700.0068m      3.3456u    700.0110m     15.5303u
5.24000n    700.0037m      1.7888u    700.0059m     14.1726u
5.25000n    700.0005m      0.         700.0008m     12.8149u
5.26000n    699.9974m     -1.3248u    699.9957m     11.4572u
5.27000n    699.9943m     -2.8816u    699.9906m     10.0995u
5.28000n    699.9911m     -4.4384u    699.9855m      8.7418u
5.29000n    699.9908m     -4.5584u    699.9850m      8.6423u
5.30000n    699.9924m     -3.7359u    699.9876m      9.3682u
5.31000n    699.9939m     -2.9135u    699.9902m     10.0942u
5.32000n    699.9954m     -2.0910u    699.9927m     10.8201u
5.33000n    699.9970m     -1.2686u    699.9953m     11.5460u
5.34000n    699.9985m      0.         699.9979m     12.2719u
5.35000n    700.0000m      0.         700.0004m     12.9978u
5.36000n    700.0016m      1.1988u    700.0030m     13.7238u
5.37000n    700.0031m      2.0212u    700.0056m     14.4497u
5.38000n    700.0046m      2.8437u    700.0081m     15.1756u
5.39000n    700.0062m      3.6661u    700.0107m     15.9015u
5.40000n    700.0077m      4.4886u    700.0133m     16.6274u
5.41000n    700.0093m      5.3110u    700.0158m     17.3534u
5.42000n    700.0089m      5.1069u    700.0152m     17.0235u
5.43000n    700.0083m      4.7571u    700.0142m     16.5440u
5.44000n    700.0076m      4.4073u    700.0131m     16.0644u
5.45000n    700.0070m      4.0576u    700.0120m     15.5849u
5.46000n    700.0064m      3.7078u    700.0110m     15.1053u
5.47000n    700.0057m      3.3580u    700.0099m     14.6258u
5.48000n    700.0051m      3.0083u    700.0088m     14.1462u
5.49000n    700.0045m      2.6585u    700.0078m     13.6667u
5.50000n    700.0039m      2.3087u    700.0067m     13.1871u
5.51000n    700.0032m      1.9590u    700.0056m     12.7076u
5.52000n    700.0026m      1.6092u    700.0046m     12.2280u
5.53000n    700.0020m      1.2595u    700.0035m     11.7484u
5.54000n    700.0013m    909.6982n    700.0024m     11.2689u
5.55000n    700.0007m    559.9355n    700.0014m     10.7893u
5.56000n    700.0001m      0.         700.0003m     10.3098u
5.57000n    699.9994m      0.         699.9992m      9.8302u
5.58000n    699.9988m      0.         699.9981m      9.3507u
5.59000n    699.9982m   -839.1155n    699.9971m      8.8711u
5.60000n    699.9976m     -1.1889u    699.9960m      8.3916u
5.61000n    699.9969m     -1.5386u    699.9949m      7.9120u
5.62000n    699.9963m     -1.8884u    699.9939m      7.4325u
5.63000n    699.9957m     -2.2382u    699.9928m      6.9529u
5.64000n    699.9950m     -2.5879u    699.9917m      6.4733u
5.65000n    699.9944m     -2.9377u    699.9907m      5.9938u
5.66000n    699.9938m     -3.2875u    699.9896m      5.5142u
5.67000n    699.9931m     -3.6372u    699.9885m      5.0347u
5.68000n    699.9925m     -3.9870u    699.9875m      4.5551u
5.69000n    699.9919m     -4.3367u    699.9864m      4.0756u
5.70000n    699.9913m     -4.6865u    699.9853m      3.5960u
5.71000n    699.9906m     -5.0363u    699.9843m      3.1165u
5.72000n    700.3690m      3.3909u    700.1615m      3.3819m
5.73000n    704.5442m     -5.1763m    702.1558m     35.1412m
5.74000n    699.9192m    -36.3970u    699.9750m     49.2243m
5.75000n    699.9287m   -155.3236u    699.9655m     49.0928m
5.76000n    699.7032m   -129.3953u    699.8622m     46.3707m
5.77000n    699.6801m    -68.0640u    699.8548m     43.1872m
5.78000n    699.8297m    -15.9175u    699.9351m     40.1899m
5.79000n    699.9098m     -9.5302u    699.9614m     38.9548m
5.80000n    699.9672m     -7.6957u    699.9792m     38.1253m
5.81000n    699.9796m      0.         699.9937m     37.8521m
5.82000n    699.9901m      2.6790u    700.0002m     37.6951m
5.83000n    699.9987m   -815.8785n    699.9981m     37.6626m
5.84000n    700.0054m     -3.4999u    699.9966m     37.6343m
5.85000n    700.0024m     -1.7254u    699.9982m     37.6287m
5.86000n    699.9994m      0.         699.9998m     37.6231m
5.87000n    699.9963m      1.8236u    700.0015m     37.6175m
5.88000n    699.9936m      3.4292u    700.0029m     37.6124m
5.89000n    699.9951m      2.6515u    700.0022m     37.6145m
5.90000n    699.9966m      1.8739u    700.0015m     37.6166m
5.91000n    699.9981m      1.0962u    700.0008m     37.6187m
5.92000n    699.9997m      0.         700.0001m     37.6208m
5.93000n    700.0012m      0.         699.9994m     37.6229m
5.94000n    700.0027m     -1.2367u    699.9987m     37.6251m
5.95000n    700.0042m     -2.0144u    699.9980m     37.6272m
5.96000n    700.0057m     -2.7920u    699.9973m     37.6293m
5.97000n    700.0036m     -1.8660u    699.9982m     37.6271m
5.98000n    700.0003m      0.         699.9996m     37.6233m
5.99000n    699.9969m      1.1819u    700.0009m     37.6196m
6.00000n    699.9936m      2.7058u    700.0023m     37.6158m
6.01000n    699.9571m     22.5863u    700.0206m     28.4356m
6.02000n    698.2728m    -52.4280u    699.2387m     16.5578m
6.03000n    699.4640m    -42.8415u    699.7698m      8.3039m
6.04000n    699.7232m    -14.5725u    699.8792m      4.2506m
6.05000n    699.8759m    -10.9254u    699.9476m      1.8086m
6.06000n    699.9403m     -4.0286u    699.9746m    856.0055u
6.07000n    699.9822m      3.7020u    699.9909m    285.5564u
6.08000n    699.9934m      2.3859u    699.9963m    109.1377u
6.09000n    699.9955m     -1.6307u    699.9983m     50.3385u
6.10000n    699.9976m     -5.4871u    700.0004m     -7.0251u
6.11000n    699.9989m     -2.6627u    700.0002m     -4.5573u
6.12000n    700.0002m      0.         700.0000m     -2.0896u
6.13000n    700.0014m      2.9861u    699.9998m      0.
6.14000n    700.0026m      5.5529u    699.9996m      2.7002u
6.15000n    700.0019m      4.1705u    699.9996m      2.7864u
6.16000n    700.0012m      2.7881u    699.9997m      2.8725u
6.17000n    700.0005m      1.4057u    699.9997m      2.9587u
6.18000n    699.9998m      0.         699.9998m      3.0449u
6.19000n    699.9991m     -1.3592u    699.9998m      3.1311u
6.20000n    699.9984m     -2.7416u    699.9999m      3.2173u
6.21000n    699.9977m     -4.1240u    699.9999m      3.3035u
6.22000n    699.9970m     -5.3742u    700.0000m      3.3679u
6.23000n    699.9979m     -3.7134u    699.9999m      2.9537u
6.24000n    699.9987m     -2.0525u    699.9999m      2.5395u
6.25000n    699.9996m      0.         699.9998m      2.1254u
6.26000n    700.0004m      1.2692u    699.9998m      1.7112u
6.27000n    700.0013m      2.9301u    699.9998m      1.2970u
6.28000n    700.0021m      4.5909u    699.9997m    882.8312n
6.29000n    698.9784m    -13.4833u    699.5342m     -7.0794m
6.30000n    699.5776m    -32.2656u    699.8269m    -14.7541m
6.31000n    700.1276m    -64.9279u    700.0487m    -15.2015m
6.32000n    699.9946m    550.4860n    699.9976m    -15.0070m
6.33000n    699.9979m    -12.0799u    700.0007m    -15.0103m
6.34000n    700.0059m     18.0530u    699.9998m    -15.0074m
6.35000n    700.0064m     21.4726u    699.9995m    -15.0044m
6.36000n    700.0029m     10.4122u    699.9996m    -15.0014m
6.37000n    699.9994m   -648.1861n    699.9996m    -14.9984m
6.38000n    699.9958m    -11.7086u    699.9996m    -14.9954m
6.39000n    699.9923m    -22.7690u    699.9997m    -14.9924m
6.40000n    699.9916m    -24.8946u    699.9997m    -14.9898m
6.41000n    699.9931m    -20.3914u    699.9997m    -14.9877m
6.42000n    699.9947m    -15.8882u    699.9997m    -14.9855m
6.43000n    699.9962m    -11.3849u    699.9998m    -14.9834m
6.44000n    699.9977m     -6.8817u    699.9998m    -14.9813m
6.45000n    699.9992m     -2.3785u    699.9998m    -14.9791m
6.46000n    700.0007m      2.1247u    699.9998m    -14.9770m
6.47000n    700.0022m      6.6279u    699.9999m    -14.9748m
6.48000n    700.0037m     11.1312u    699.9999m    -14.9727m
6.49000n    700.0052m     15.6344u    699.9999m    -14.9705m
6.50000n    700.0068m     20.1376u    699.9999m    -14.9684m
6.51000n    700.0083m     24.6408u    700.0000m    -14.9662m
6.52000n    700.0089m     26.5483u    700.0000m    -14.9642m
6.53000n    700.0082m     24.3761u    700.0000m    -14.9622m
6.54000n    700.0074m     22.2039u    699.9999m    -14.9603m
6.55000n    700.0067m     20.0316u    699.9999m    -14.9583m
6.56000n    700.0059m     17.8594u    699.9999m    -14.9564m
6.57000n    700.0052m     15.6872u    699.9999m    -14.9544m
6.58000n    700.0044m     13.5150u    699.9999m    -14.9525m
6.59000n    700.0037m     11.3428u    699.9998m    -14.9505m
6.60000n    700.0030m      9.1706u    699.9998m    -14.9486m
6.61000n    700.0022m      6.9984u    699.9998m    -14.9466m
6.62000n    700.0015m      4.8262u    699.9998m    -14.9447m
6.63000n    700.0007m      2.6540u    699.9998m    -14.9427m
6.64000n    700.0000m      0.         699.9997m    -14.9408m
6.65000n    699.9992m     -1.6904u    699.9997m    -14.9389m
6.66000n    699.9985m     -3.8626u    699.9997m    -14.9369m
6.67000n    699.9978m     -6.0348u    699.9997m    -14.9350m
6.68000n    699.9970m     -8.2070u    699.9997m    -14.9330m
6.69000n    699.9963m    -10.3792u    699.9996m    -14.9311m
6.70000n    699.9955m    -12.5514u    699.9996m    -14.9291m
6.71000n    699.9948m    -14.7237u    699.9996m    -14.9272m
6.72000n    699.9940m    -16.8959u    699.9996m    -14.9252m
6.73000n    699.9933m    -19.0681u    699.9996m    -14.9233m
6.74000n    699.9925m    -21.2403u    699.9995m    -14.9213m
6.75000n    699.9918m    -23.4125u    699.9995m    -14.9194m
6.76000n    699.9911m    -25.5847u    699.9995m    -14.9174m
6.77000n    699.9914m    -24.7802u    699.9995m    -14.9158m
6.78000n    699.9934m    -18.8660u    699.9996m    -14.9145m
6.79000n    699.9955m    -12.9518u    699.9997m    -14.9133m
6.80000n    699.9976m     -7.0376u    699.9998m    -14.9120m
6.81000n    699.9997m     -1.1234u    699.9998m    -14.9108m
6.82000n    700.0017m      4.7908u    699.9999m    -14.9095m
6.83000n    700.0038m     10.7050u    700.0000m    -14.9083m
6.84000n    700.0059m     16.6192u    700.0001m    -14.9070m
6.85000n    700.0080m     22.5334u    700.0002m    -14.9058m
6.86000n    714.2219m     86.2369m    704.7771m    -11.4539m
6.87000n    710.1894m    373.3935m    681.1732m    -17.5448m
6.88000n    701.0771m    464.3664m    655.1175m    -15.3174m
6.89000n    700.4667m    484.8769m    664.5065m    -12.6968m
6.90000n    700.3380m    498.8178m    671.7175m    -11.3513m
6.91000n    700.2406m    510.2484m    677.7069m    -10.2273m
6.92000n    700.2056m    517.2904m    681.2712m     -9.4221m
6.93000n    700.1707m    524.3323m    684.8354m     -8.6170m
6.94000n    700.1394m    530.5356m    687.8871m     -7.8776m
6.95000n    700.1193m    534.1310m    689.3451m     -7.3429m
6.96000n    700.0992m    537.7265m    690.8032m     -6.8082m
6.97000n    700.0792m    541.3219m    692.2612m     -6.2736m
6.98000n    700.0752m    543.6711m    693.0745m     -5.7927m
6.99000n    700.0751m    545.7290m    693.7372m     -5.3244m
7.00000n    700.0749m    547.7869m    694.3998m     -4.8562m
7.01000n    700.0748m    549.8448m    695.0624m     -4.3879m
7.02000n    700.0702m    551.4669m    695.5152m     -3.9789m
7.03000n    700.0622m    552.7491m    695.8042m     -3.6162m
7.04000n    700.0542m    554.0313m    696.0933m     -3.2535m
7.05000n    700.0462m    555.3136m    696.3823m     -2.8907m
7.06000n    700.0383m    556.5958m    696.6714m     -2.5280m
7.07000n    700.0321m    557.7930m    696.9333m     -2.1878m
7.08000n    700.0333m    558.6559m    697.0882m     -1.9366m
7.09000n    700.0345m    559.5187m    697.2432m     -1.6853m
7.10000n    700.0357m    560.3816m    697.3982m     -1.4340m
7.11000n    700.0369m    561.2444m    697.5531m     -1.1827m
7.12000n    700.0381m    562.1073m    697.7081m   -931.4373u
7.13000n    700.0393m    562.9701m    697.8631m   -680.1557u
7.14000n    700.0245m    563.7314m    697.9515m   -474.5182u
7.15000n    694.0506m    512.6653m    696.7621m    -15.1125m
7.16000n    677.2254m    120.0280m    692.8428m    -36.0713m
7.17000n    700.0158m    -17.2387u    699.9728m    -30.9850m
7.18000n    699.9924m    -11.1602u    699.9832m    -30.9938m
7.19000n    700.0053m      8.1652u    700.0108m    -30.9802m
7.20000n    700.0086m     13.0412u    700.0183m    -30.9735m
7.21000n    700.0005m    507.2020n    700.0014m    -30.9753m
7.22000n    699.9932m    -10.5751u    699.9860m    -30.9765m
7.23000n    700.0012m      1.9826u    700.0021m    -30.9665m
7.24000n    700.0092m     14.4883u    700.0182m    -30.9565m
7.25000n    700.0017m      2.6358u    700.0036m    -30.9578m
7.26000n    699.9943m     -9.2166u    699.9889m    -30.9591m
7.27000n    699.9949m     -8.1771u    699.9900m    -30.9545m
7.28000n    700.0009m      1.5657u    700.0016m    -30.9460m
7.29000n    700.0070m     11.3085u    700.0132m    -30.9374m
7.30000n    700.0057m      9.2695u    700.0109m    -30.9342m
7.31000n    700.0019m      2.9756u    700.0036m    -30.9330m
7.32000n    699.9980m     -3.3183u    699.9963m    -30.9317m
7.33000n    699.9941m     -9.6122u    699.9889m    -30.9304m
7.34000n    699.9925m    -12.1859u    699.9859m    -30.9275m
7.35000n    699.9947m     -8.6885u    699.9899m    -30.9218m
7.36000n    699.9968m     -5.1912u    699.9939m    -30.9161m
7.37000n    699.9989m     -1.6939u    699.9980m    -30.9104m
7.38000n    700.0011m      1.8035u    700.0020m    -30.9048m
7.39000n    700.0032m      5.3008u    700.0060m    -30.8991m
7.40000n    700.0054m      8.7981u    700.0100m    -30.8934m
7.41000n    700.0075m     12.2954u    700.0140m    -30.8877m
7.42000n    700.0016m      2.4128u    700.0030m    -30.8879m
7.43000n    700.8982m    506.3437u    700.4630m    -28.8768m
7.44000n    702.3718m    702.3299u    701.0894m     -6.5602m
7.45000n    699.1826m    903.0308u    699.4430m     10.2985m
7.46000n    699.6609m    195.3488u    699.8491m      3.0740m
7.47000n    699.8888m     83.1738u    699.9620m    968.5953u
7.48000n    699.9770m     69.6141u    699.9803m    220.8393u
7.49000n    699.9873m     44.4711u    699.9958m     80.7549u
7.50000n    699.9962m     24.9030u    700.0072m    -30.3098u
7.51000n    699.9993m     27.3795u    700.0021m    -26.6245u
7.52000n    700.0024m     29.8560u    699.9970m    -22.9393u
7.53000n    700.0047m     30.8897u    699.9933m    -19.2873u
7.54000n    700.0025m     24.9755u    699.9961m    -15.7958u
7.55000n    700.0004m     19.0613u    699.9990m    -12.3042u
7.56000n    699.9983m     13.1471u    700.0019m     -8.8127u
7.57000n    699.9962m      7.2328u    700.0048m     -5.3211u
7.58000n    699.9951m      3.7543u    700.0063m     -3.2278u
7.59000n    699.9964m      5.6643u    700.0045m     -4.2278u
7.60000n    699.9977m      7.5742u    700.0028m     -5.2278u
7.61000n    699.9991m      9.4841u    700.0011m     -6.2278u
7.62000n    700.0004m     11.3941u    699.9993m     -7.2277u
7.63000n    700.0017m     13.3040u    699.9976m     -8.2277u
7.64000n    700.0030m     15.2140u    699.9959m     -9.2277u
7.65000n    700.0043m     17.1239u    699.9941m    -10.2276u
7.66000n    700.0040m     16.0620u    699.9945m     -9.4856u
7.67000n    700.0023m     12.5128u    699.9967m     -7.2857u
7.68000n    700.0006m      8.9637u    699.9989m     -5.0857u
7.69000n    699.9989m      5.4145u    700.0010m     -2.8858u
7.70000n    699.9972m      1.8654u    700.0032m   -685.7959n
7.71000n    699.9955m     -1.6838u    700.0054m      1.5142u
7.72000n    700.5299m    687.7076u    700.2198m      4.9798m
7.73000n    704.3511m     -1.9163m    701.9920m     39.1331m
7.74000n    699.4006m     13.1414u    699.7871m     36.1757m
7.75000n    699.6713m   -178.3025u    699.8359m     32.5145m
7.76000n    699.1261m   -270.0925u    699.6066m     24.6805m
7.77000n    699.0917m    -74.7388u    699.5939m     14.0598m
7.78000n    699.4896m    -24.7736u    699.7825m      7.0185m
7.79000n    699.7913m    -18.5045u    699.9118m      3.4081m
7.80000n    699.8802m   -867.1393n    699.9397m      1.4370m
7.81000n    699.9693m     -1.1506u    699.9935m    637.7035u
7.82000n    699.9868m     -1.6911u    699.9973m    299.9384u
7.83000n    699.9802m     -2.3185u    699.9842m    118.2588u
7.84000n    699.9863m     -1.2047u    699.9882m     55.4386u
7.85000n    699.9965m      0.         699.9978m     31.5528u
7.86000n    700.0068m      2.1634u    700.0073m      7.6671u
7.87000n    700.0152m      3.4962u    700.0151m    -12.7033u
7.88000n    700.0105m      2.3219u    700.0104m     -7.9852u
7.89000n    700.0058m      1.1477u    700.0056m     -3.2670u
7.90000n    700.0010m      0.         700.0008m      1.4511u
7.91000n    699.9963m     -1.2008u    699.9961m      6.1693u
7.92000n    699.9916m     -2.3751u    699.9913m     10.8874u
7.93000n    699.9869m     -3.5494u    699.9866m     15.6056u
7.94000n    699.9879m     -3.1310u    699.9877m     14.9704u
7.95000n    699.9922m     -1.8326u    699.9921m     11.3775u
7.96000n    699.9964m   -534.2520n    699.9964m      7.7846u
7.97000n    700.0006m    764.1006n    700.0008m      4.1917u
7.98000n    700.0049m      2.0625u    700.0052m    598.8004n
7.99000n    700.0091m      3.3608u    700.0096m     -2.9941u
8.00000n    700.0134m      4.6592u    700.0140m     -6.5870u
