             q           qb           q2           q2b    
1.05000n    883.3528m    699.9694m     17.8027u    699.9665m
1.06000n    881.6679m    699.9699m     17.1559u    699.9665m
1.07000n    879.9830m    699.9704m     16.5091u    699.9666m
1.08000n    878.2981m    699.9709m     15.8623u    699.9667m
1.09000n    876.9680m    699.9728m     15.9041u    699.9690m
1.10000n    875.8135m    699.9754m     16.2868u    699.9726m
1.11000n    874.6591m    699.9780m     16.6696u    699.9761m
1.12000n    873.5046m    699.9807m     17.0523u    699.9796m
1.13000n    872.3501m    699.9833m     17.4351u    699.9831m
1.14000n    871.1957m    699.9859m     17.8178u    699.9866m
1.15000n    807.2668m    680.4057m     -3.5238m    697.3198m
1.16000n    144.8473m    660.5772m      1.5287m    682.5001m
1.17000n    114.5551u    699.3588m      1.7567m    699.7670m
1.18000n      4.2557u    699.9607m    346.6295u    699.9747m
1.19000n     -2.1787u    699.9940m     96.5093u    700.0080m
1.20000n      0.         699.9957m     40.8519u    699.9964m
1.21000n      2.3485u    699.9974m     -2.6842u    699.9882m
1.22000n      1.3479u    699.9987m      4.0281u    699.9939m
1.23000n      0.         700.0001m     10.7403u    699.9995m
1.24000n   -653.3697n    700.0014m     17.4526u    700.0052m
1.25000n     -1.6540u    700.0028m     24.1648u    700.0109m
1.26000n     -1.6445u    700.0026m     24.2841u    700.0107m
1.27000n     -1.2296u    700.0019m     21.7578u    700.0081m
1.28000n   -814.7333n    700.0012m     19.2315u    700.0055m
1.29000n      0.         700.0005m     16.7052u    700.0029m
1.30000n      0.         699.9998m     14.1789u    700.0004m
1.31000n      0.         699.9991m     11.6526u    699.9978m
1.32000n    844.7527n    699.9984m      9.1262u    699.9952m
1.33000n      1.2596u    699.9977m      6.5999u    699.9926m
1.34000n      1.6745u    699.9970m      4.0736u    699.9901m
1.35000n      2.0632u    699.9963m      1.6971u    699.9877m
1.36000n      1.8884u    699.9966m      2.5508u    699.9888m
1.37000n      1.7135u    699.9970m      3.4045u    699.9899m
1.38000n      1.5387u    699.9973m      4.2583u    699.9910m
1.39000n      1.3638u    699.9976m      5.1120u    699.9922m
1.40000n      1.1890u    699.9979m      5.9657u    699.9933m
1.41000n      1.0141u    699.9983m      6.8194u    699.9944m
1.42000n    839.2837n    699.9986m      7.6731u    699.9956m
1.43000n    664.4337n    699.9989m      8.5269u    699.9967m
1.44000n      0.         699.9992m      9.3806u    699.9978m
1.45000n      0.         699.9996m     10.2343u    699.9989m
1.46000n      0.         699.9999m     11.0880u    700.0001m
1.47000n      0.         700.0002m     11.9418u    700.0012m
1.48000n      0.         700.0005m     12.7955u    700.0023m
1.49000n      0.         700.0008m     13.6492u    700.0034m
1.50000n   -559.5163n    700.0012m     14.5029u    700.0046m
1.51000n   -734.3663n    700.0015m     15.3566u    700.0057m
1.52000n   -909.2162n    700.0018m     16.2104u    700.0068m
1.53000n     -1.0841u    700.0021m     17.0641u    700.0080m
1.54000n     -1.2589u    700.0025m     17.9178u    700.0091m
1.55000n     -1.4338u    700.0028m     18.7715u    700.0102m
1.56000n     -1.6086u    700.0031m     19.6252u    700.0113m
1.57000n     -1.7035u    700.0033m     20.0512u    700.0119m
1.58000n     -1.4539u    700.0028m     18.6353u    700.0103m
1.59000n     -1.2042u    700.0023m     17.2194u    700.0086m
1.60000n   -954.6380n    700.0018m     15.8034u    700.0069m
1.61000n   -705.0284n    700.0013m     14.3875u    700.0053m
1.62000n      0.         700.0008m     12.9716u    700.0036m
1.63000n      0.         700.0003m     11.5557u    700.0019m
